id;codigo;nome
86;455;INSTITUTO DE CIÊNCIAS BIOLÓGICAS - BRASÍLIA
87;504;INSTITUTO DE CIÊNCIAS EXATAS - BRASÍLIA
88;544;INSTITUTO DE CIÊNCIAS HUMANAS - BRASÍLIA
89;473;INSTITUTO DE CIÊNCIAS SOCIAIS - BRASÍLIA
90;524;INSTITUTO DE FÍSICA - BRASÍLIA
91;533;INSTITUTO DE GEOCIÊNCIAS - BRASÍLIA
92;567;INSTITUTO DE LETRAS - BRASÍLIA
93;583;INSTITUTO DE PSICOLOGIA - BRASÍLIA
94;610;INSTITUTO DE QUÍMICA - BRASÍLIA
95;669;INSTITUTO DE RELAÇÕES INTERNACIONAIS - BRASÍLIA
96;542;OBSERVATÓRIO SISMOLÓGICO - BRASÍLIA
97;1080;PARQUE CIENTÍFICO E TECNOLÓGICO DA UNB - BRASÍLIA
98;1615;PARQUE DE INOVAÇÃO E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO - BRASÍLIA
99;1617;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO (PROFISSIONAL) - BRASÍLIA
100;664;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - BRASÍLIA
101;853;PROGRAMA DE PÓS-GRADUAÇÃO EM AGRONEGÓCIOS - BRASÍLIA
102;854;PROGRAMA DE PÓS-GRADUAÇÃO EM AGRONOMIA - BRASÍLIA
103;855;PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA - BRASÍLIA
104;927;PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - BRASÍLIA
105;842;PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES CÊNICAS - BRASÍLIA
106;911;PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES VISUAIS - BRASÍLIA
107;1491;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA ANIMAL - BRASÍLIA
108;1501;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA MICROBIANA - BRASÍLIA
109;1492;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA E BIODIVERSIDADE - REDE PRÓ-CENTRO-OESTE - BRASÍLIA
110;831;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOÉTICA - BRASÍLIA
111;1489;PROGRAMA DE PÓS-GRADUAÇÃO EM BOTÂNICA - BRASÍLIA
112;900;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA POLÍTICA - BRASÍLIA
113;995;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS AMBIENTAIS - BRASÍLIA
114;909;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS ANIMAIS - BRASÍLIA
115;1488;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS BIOLÓGICAS (BIOLOGIA MOLECULAR) - BRASÍLIA
116;896;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS - BRASÍLIA
117;946;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA INFORMAÇÃO - BRASÍLIA
118;898;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA REABILITAÇÃO - BRASÍLIA
119;902;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA SAÚDE - BRASÍLIA
120;988;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DE MATERIAIS - BRASÍLIA
121;903;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DO COMPORTAMENTO - BRASÍLIA
122;897;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA
123;906;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS - BRASÍLIA
124;997;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS - BRASÍLIA
125;904;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS MECÂNICAS - BRASÍLIA
126;845;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS MÉDICAS - BRASÍLIA
127;840;PROGRAMA DE PÓS-GRADUAÇÃO EM COMPUTAÇÃO APLICADA (PROFISSIONAL) - BRASÍLIA
128;841;PROGRAMA DE PÓS-GRADUAÇÃO EM COMUNICAÇÃO/PPGCOM - BRASÍLIA
129;929;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E COOPERAÇÃO INTERNACIONAL - BRASÍLIA
130;1487;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO SUSTENTÁVEL - BRASÍLIA
131;875;PROGRAMA DE PÓS-GRADUAÇÃO EM DESIGN - BRASÍLIA
132;914;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO - BRASÍLIA
133;1505;"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO REGULAÇÃO E POLÍTICAS PÚBLICAS - BRASÍLIA"
134;916;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITOS HUMANOS E CIDADANIA - BRASÍLIA
135;1490;PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA - BRASÍLIA
136;1619;PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA (PROFISSIONAL) - BRASÍLIA
137;1198;PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA - BRASÍLIA
138;1620;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO (PROFISSIONAL) - BRASÍLIA
139;977;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO - BRASÍLIA
140;1185;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO EM CIÊNCIAS - BRASÍLIA
141;1625;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA (PROFISSIONAL) - BRASÍLIA
142;910;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA - BRASÍLIA
143;843;PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM - BRASÍLIA
144;959;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA BIOMÉDICA - BRASÍLIA
145;949;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE SISTEMAS ELETRÔNICOS E AUTOMAÇÃO - BRASÍLIA
146;948;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA - BRASÍLIA
147;1186;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS (PROFISSIONAL) - BRASÍLIA
148;1506;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE FÍSICA (PROFISSIONAL) - BRASÍLIA
149;1613;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE GEOGRAFIA EM REDE (PROFISSIONAL) - BRASÍLIA
150;876;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTATÍSTICA - BRASÍLIA
151;829;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTRUTURAS E CONSTRUÇÃO CIVIL - BRASÍLIA
152;1225;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS COMPARADOS SOBRE AS AMÉRICAS - BRASÍLIA
153;1494;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA TRADUÇÃO - BRASÍLIA
154;1664;PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA (PROFISSIONAL) - BRASÍLIA
155;917;PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - BRASÍLIA
156;947;PROGRAMA DE PÓS-GRADUAÇÃO EM FITOPATOLOGIA - BRASÍLIA
157;985;PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA - BRASÍLIA
158;932;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOCIÊNCIAS APLICADAS E GEODINÂMICA - BRASÍLIA
159;1493;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - BRASÍLIA
160;931;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOLOGIA - BRASÍLIA
161;901;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOTECNIA - BRASÍLIA
162;1503;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO E REGULAÇÃO DE RECURSOS HÍDRICOS - PROFÁGUA (PROFISSIONAL) - BRASÍLIA
163;933;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA (PROFISSIONAL) - BRASÍLIA
164;1616;PROGRAMA DE PÓS-GRADUAÇÃO EM GOVERNANÇA E INOVAÇÃO EM POLÍTICAS PÚBLICAS (PROFISSIONAL) - BRASÍLIA
165;928;PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA - BRASÍLIA
166;895;PROGRAMA DE PÓS-GRADUAÇÃO EM INFORMÁTICA - BRASÍLIA
167;960;PROGRAMA DE PÓS-GRADUAÇÃO EM INTEGRIDADE DE MATERIAIS DA ENGENHARIA - BRASÍLIA
168;1495;PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA - BRASÍLIA
169;1203;PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA APLICADA - BRASÍLIA
170;987;PROGRAMA DE PÓS-GRADUAÇÃO EM LITERATURA - BRASÍLIA
171;983;PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA - BRASÍLIA
172;990;PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA EM REDE NACIONAL (PROFISSIONAL) - BRASÍLIA
173;874;PROGRAMA DE PÓS-GRADUAÇÃO EM MEDICINA TROPICAL - BRASÍLIA
174;996;PROGRAMA DE PÓS-GRADUAÇÃO EM MEIO AMBIENTE EM DESENVOLVIMENTO RURAL - BRASÍLIA
175;926;PROGRAMA DE PÓS-GRADUAÇÃO EM METAFÍSICA - BRASÍLIA
176;873;PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - BRASÍLIA
177;1502;PROGRAMA DE PÓS-GRADUAÇÃO EM NANOCIÊNCIA E NANOBIOTECNOLOGIA - BRASÍLIA
178;899;PROGRAMA DE PÓS-GRADUAÇÃO EM NUTRIÇÃO HUMANA - BRASÍLIA
179;907;PROGRAMA DE PÓS-GRADUAÇÃO EM ODONTOLOGIA - BRASÍLIA
180;1496;PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA MOLECULAR - BRASÍLIA
181;1499;PROGRAMA DE PÓS-GRADUAÇÃO EM POLÍTICA SOCIAL - BRASÍLIA
182;1624;PROGRAMA DE PÓS-GRADUAÇÃO EM POLÍTICAS PÚBLICAS PARA INFÂNCIA E JUVENTUDE (PROFISSIONAL) - BRASÍLIA
183;982;PROGRAMA DE PÓS-GRADUAÇÃO EM PROCESSOS DE DESENVOLVIMENTO HUMANO E SAÚDE - BRASÍLIA
184;1618;PROGRAMA DE PÓS-GRADUAÇÃO EM PROFARTES (PROFISSIONAL) - BRASÍLIA
185;1545;PROGRAMA DE PÓS-GRADUAÇÃO EM PROFARTES - BRASÍLIA
186;978;PROGRAMA DE PÓS-GRADUAÇÃO EM PROFNIT - PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA PARA A INOVAÇÃO (PROFISSIONAL) - BRASÍLIA
187;986;PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA CLÍNICA E CULTURA - BRASÍLIA
188;1497;PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA DO DESENVOLVIMENTO E ESCOLAR - BRASÍLIA
189;913;"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA SOCIAL DO TRABALHO E DAS ORGANIZAÇÕES (PSTO) - BRASÍLIA"
190;844;PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - BRASÍLIA
191;1622;PROGRAMA DE PÓS-GRADUAÇÃO EM REDE NACIONAL PARA ENSINO DAS CIÊNCIAS AMBIENTAIS (PROFISSIONAL) - BRASÍLIA
192;1546;PROGRAMA DE PÓS-GRADUAÇÃO EM REDE NACIONAL PARA ENSINO DAS CIÊNCIAS AMBIENTAIS - BRASÍLIA
193;1498;PROGRAMA DE PÓS-GRADUAÇÃO EM RELAÇÕES INTERNACIONAIS - BRASÍLIA
194;872;PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE ANIMAL - BRASÍLIA
195;1623;PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA (PROFISSIONAL) - BRASÍLIA
196;908;PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - BRASÍLIA
197;912;PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS MECATRÔNICOS - BRASÍLIA
198;915;PROGRAMA DE PÓS-GRADUAÇÃO EM SOCIOLOGIA - BRASÍLIA
199;1504;PROGRAMA DE PÓS-GRADUAÇÃO EM SUSTENTABILIDADE JUNTO A POVOS E TERRITÓRIOS TRADICIONAIS - BRASÍLIA
200;830;PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIA AMBIENTAL E RECURSOS HÍDRICOS - BRASÍLIA
201;930;PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIAS QUÍMICA E BIOLÓGICA - BRASÍLIA
202;828;PROGRAMA DE PÓS-GRADUAÇÃO EM TRANSPORTES - BRASÍLIA
203;1500;PROGRAMA DE PÓS-GRADUAÇÃO EM ZOOLOGIA - BRASÍLIA
204;1543;PROGRAMA DE PÓS-GRADUAÇÃO PROFBIO ENSINO DE BIOLOGIA EM REDE NACIONAL (PROFISSIONAL) - BRASÍLIA
205;1621;PROGRAMA DE PÓS-GRADUAÇÃO PROFISSIONAL EM ENGENHARIA ELÉTRICA - BRASÍLIA
